TXNAME	GENEID
"G264;G264.1(+)"	G264
"G265;G265.1(-)"	G265
"G266;G266.1(+)"	G266
"G267;G267.1(+)"	G267
"G268;G268.1(+)"	G268
"G269;G269.1(-)"	G269
"G270;G270.1(+)"	G270
"G270;G270.2(+)"	G270
"G271;G271.1(-)"	G271
"G271;G271.2(-)"	G271
"G271;G271.3(-)"	G271
"G272;G272.1(-)"	G272
"G273;G273.1(+)"	G273
"G273;G273.2(+)"	G273
"G273;G273.3(+)"	G273
"G274;G274.1(+)"	G274
"G275;G275.1(-)"	G275
"G276;G276.1(-)"	G276
"G277;G277.1(-)"	G277
"G278;G278.1(+)"	G278
"G279;G279.1(+)"	G279
"G279;G279.2(+)"	G279
"G279;G279.3(+)"	G279
"G280;G280.1(+)"	G280
"G281;G281.1(-)"	G281
"G282;G282.1(-)"	G282
"G283;G283.1(-)"	G283
"G284;G284.1(+)"	G284
"G284;G284.2(+)"	G284
"G285;G285.1(-)"	G285
"G285;G285.2(-)"	G285
"G286;G286.1(-)"	G286
"G287;G287.1(+)"	G287
"G288;G288.1(+)"	G288
"G289;G289.1(+)"	G289
"G290;G290.1(-)"	G290
"G291;G291.1(+)"	G291
"G292;G292.1(-)"	G292
"G293;G293.1(+)"	G293
"G294;G294.1(-)"	G294
"G294;G294.2(-)"	G294
"G295;G295.1(-)"	G295
"G296;G296.1(-)"	G296
"G297;G297.1(+)"	G297
"G298;G298.1(+)"	G298
"G298;G298.2(+)"	G298
"G299;G299.1(+)"	G299
"G300;G300.1(-)"	G300
"G300;G300.2(-)"	G300
"G301;G301.1(-)"	G301
"G301;G301.2(-)"	G301
"G302;G302.1(-)"	G302
"G302;G302.2(-)"	G302
"G303;G303.1(-)"	G303
"G304;G304.1(-)"	G304
"G305;G305.1(+)"	G305
"G306;G306.1(+)"	G306
"G307;G307.1(-)"	G307
"G308;G308.1(+)"	G308
"G309;G309.1(+)"	G309
"G310;G310.1(+)"	G310
"G311;G311.1(+)"	G311
"G311;G311.2(+)"	G311
"G312;G312.1(+)"	G312
"G312;G312.2(+)"	G312
"G312;G312.3(+)"	G312
"G313;G313.1(+)"	G313
"G314;G314.1(+)"	G314
"G314;G314.2(+)"	G314
"G314;G314.3(+)"	G314
"G314;G314.4(+)"	G314
"G315;G315.1(-)"	G315
"G316;G316.1(-)"	G316
"G317;G317.1(+)"	G317
"G318;G318.1(+)"	G318
"G319;G319.1(-)"	G319
"G319;G319.2(-)"	G319
"G320;G320.1(+)"	G320
"G321;G321.1(-)"	G321
"G321;G321.2(-)"	G321
"G322;G322.1(+)"	G322
"G323;G323.1(+)"	G323
"G324;G324.1(+)"	G324
"G325;G325.1(+)"	G325
"G326;G326.1(-)"	G326
"G327;G327.1(-)"	G327
"G327;G327.2(-)"	G327
"G328;G328.1(-)"	G328
"G329;G329.1(-)"	G329
"G330;G330.1(-)"	G330
"G331;G331.1(-)"	G331
"G332;G332.1(-)"	G332
"G333;G333.1(+)"	G333
"G334;G334.1(-)"	G334
"G335;G335.1(+)"	G335
"G336;G336.1(-)"	G336
"G336;G336.2(-)"	G336
"G337;G337.1(+)"	G337
"G338;G338.1(+)"	G338
"G339;G339.1(-)"	G339
"G339;G339.2(-)"	G339
"G340;G340.1(+)"	G340
"G341;G341.1(-)"	G341
"G342;G342.1(+)"	G342
"G342;G342.2(+)"	G342
"G343;G343.1(+)"	G343
"G344;G344.1(+)"	G344
"G344;G344.2(+)"	G344
"G345;G345.1(+)"	G345
"G346;G346.1(+)"	G346
"G347;G347.1(+)"	G347
"G348;G348.1(+)"	G348
"G348;G348.2(+)"	G348
"G349;G349.1(-)"	G349
"G350;G350.1(+)"	G350
"G350;G350.2(+)"	G350
"G351;G351.1(-)"	G351
"G352;G352.1(-)"	G352
"G352;G352.2(-)"	G352
"G353;G353.1(-)"	G353
"G354;G354.1(-)"	G354
"G355;G355.1(+)"	G355
"G356;G356.1(+)"	G356
"G357;G357.1(-)"	G357
"G358;G358.1(+)"	G358
"G359;G359.1(+)"	G359
"G360;G360.1(+)"	G360
"G360;G360.2(+)"	G360
"G361;G361.1(+)"	G361
"G362;G362.1(-)"	G362
"G363;G363.1(+)"	G363
