rownames.upSet_df_N22.
"B273;B273.2"
"B273;B273.3"
"B274;B274.1"
"B275;B275.1"
"B1826;B1826.1"
"B276;B276.1"
"B11868;B11868.1"
"B277;B277.1"
"B278;B278.1"
"B279;B279.1"
"B279;B279.3"
"B279;B279.2"
"B6816;B6816.2"
"B6816;B6816.1"
"B280;B280.1"
"B281;B281.1"
"B282;B282.1"
"B283;B283.1"
"B284;B284.2"
"B284;B284.1"
"B285;B285.1"
"B285;B285.2"
"B286;B286.1"
"B287;B287.1"
"B288;B288.1"
"B289;B289.1"
"B290;B290.1"
"B291;B291.1"
"B8567;B8567.1"
"B292;B292.1"
"B293;B293.1"
"B294;B294.1"
"B294;B294.2"
"B295;B295.1"
"B296;B296.1"
"B297;B297.1"
"B298;B298.1"
"B298;B298.2"
"B299;B299.1"
"B300;B300.1"
"B300;B300.2"
"B301;B301.1"
"B301;B301.2"
"B302;B302.1"
"B302;B302.2"
"B303;B303.1"
"B304;B304.1"
"B305;B305.1"
"B306;B306.1"
"B307;B307.1"
"B308;B308.1"
"B309;B309.1"
"B310;B310.1"
"B12510;B12510.1"
"B311;B311.1"
"B311;B311.2"
"B5346;B5346.1"
"B312;B312.1"
"B312;B312.2"
"B312;B312.3"
"B313;B313.1"
"B314;B314.1"
"B314;B314.3"
"B314;B314.2"
"B314;B314.4"
"B315;B315.1"
"B316;B316.1"
"B317;B317.1"
"B318;B318.1"
"B319;B319.1"
"B319;B319.2"
"B320;B320.1"
"B321;B321.1"
"B321;B321.2"
"B322;B322.1"
"B323;B323.1"
"B324;B324.1"
"B325;B325.1"
"B326;B326.1"
"B327;B327.1"
"B327;B327.2"
"B328;B328.1"
"B329;B329.1"
"B330;B330.1"
"B331;B331.1"
"B332;B332.1"
"B333;B333.1"
"B334;B334.1"
"B335;B335.1"
"B336;B336.1"
"B336;B336.2"
"B337;B337.1"
"B338;B338.1"
"B339;B339.1"
"B339;B339.2"
"B340;B340.1"
"B341;B341.1"
"B342;B342.1"
"B342;B342.2"
"B343;B343.1"
"B344;B344.2"
"B344;B344.1"
"B345;B345.1"
"B1632;B1632.1"
"B346;B346.1"
"B347;B347.1"
"B348;B348.1"
"B348;B348.2"
"B349;B349.1"
"B350;B350.1"
"B350;B350.2"
"B351;B351.1"
"B352;B352.1"
"B352;B352.2"
"B353;B353.1"
"B354;B354.1"
"B355;B355.1"
"B356;B356.1"
"B357;B357.1"
"B358;B358.1"
"B359;B359.1"
"B360;B360.1"
"B360;B360.2"
"B361;B361.1"
"B362;B362.1"
"B363;B363.1"
"B364;B364.1"
"B365;B365.1"
"B366;B366.1"
"B367;B367.1"
"B367;B367.2"
"B368;B368.1"
"B368;B368.2"
"B369;B369.1"
"B370;B370.1"
"B371;B371.1"
"B371;B371.3"
"B371;B371.2"
"B372;B372.1"
"B373;B373.1"
"B712;B712.1"
"B374;B374.1"
"B375;B375.1"
"B376;B376.1"
"B376;B376.2"
"B377;B377.1"
"B378;B378.1"
"B379;B379.1"
"B380;B380.1"
"B6718;B6718.1"
"B381;B381.1"
"B381;B381.2"
"B382;B382.1"
"B383;B383.1"
"B384;B384.1"
"B385;B385.1"
"B385;B385.2"
"B386;B386.1"
"B386;B386.2"
"B387;B387.1"
"B388;B388.1"
"B389;B389.1"
"B390;B390.1"
"B391;B391.1"
"B392;B392.1"
"B393;B393.1"
"B394;B394.1"
"B395;B395.1"
"B396;B396.1"
"B396;B396.3"
"B396;B396.2"
"B8873;B8873.20"
"B8873;B8873.11"
"B8873;B8873.21"
"B8873;B8873.18"
"B8873;B8873.7"
"B8873;B8873.14"
"B8873;B8873.16"
"B8873;B8873.13"
"B397;B397.1"
"B398;B398.1"
"B399;B399.1"
"B400;B400.1"
"B401;B401.1"
"B401;B401.2"
"B8142;B8142.1"
"B8893;B8893.1"
"B1348;B1348.2"
"B1348;B1348.1"
"B9363;B9363.1"
"B402;B402.1"
"B403;B403.1"
"B403;B403.2"
"B404;B404.1"
"B405;B405.1"
"B406;B406.1"
"B407;B407.1"
"B408;B408.1"
"B409;B409.1"
"B410;B410.1"
"B410;B410.2"
"B411;B411.1"
"B411;B411.2"
"B412;B412.1"
"B413;B413.1"
"B413;B413.2"
"B414;B414.1"
"B12728;B12728.1"
"B415;B415.1"
"B416;B416.1"
"B417;B417.1"
"B418;B418.1"
"B418;B418.2"
"B418;B418.3"
"B419;B419.1"
"B420;B420.1"
"B420;B420.2"
"B420;B420.5"
"B420;B420.10"
"B420;B420.9"
"B420;B420.8"
"B420;B420.4"
